gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358624	43359087	43358743	43358755	22	20	67.8135	1	21	8	7	70.126625	0	8	14	13	66.42029	1	13	0.0	100.0	446.1	166.1124857	66.28280717	157.746332	1	463	true
JAK1	chr1	64834873	64835108	64834968	64834977	29	8	19.68071	9	20	12	4	24.5479	4	8	17	4	16.186222	5	12	0.009033558527510638	20.441411373467844	275.5	109.4753723	39.23532483	103.5283778	1	235	true
JAK1	chr1	64836050	64836346	64836130	64836139	27	6	16.391684	8	19	11	1	-1.0	5	6	16	5	23.265528	3	13	0.024492119543832683	16.109736294788256	339.3333333	128.8528877	142.2918363	79.83670835	1	296	true
JAK1	chr1	64836451	64837065	64836936	64836969	27	9	23.41715	7	20	11	4	26.510792	2	9	16	5	21.22777	5	11	0.004054863215884408	23.920237914130126	367.3333333	173.3846879	207.2657982	59.85561331	1	614	true
JAK1	chr1	64866761	64866948	64866901	64866909	30	5	13.5232935	8	22	13	1	-1.0	3	10	17	4	19.075256	5	12	0.043125241859361285	13.652684562574182	191.4	18.5013513	69.04491292	63.40977843	1	187	true
JAK1	chr1	64889190	64889408	64889303	64889314	20	4	14.928705	8	12	11	3	-1.0	5	6	9	1	-1.0	3	6	0.03357780436467005	14.739477055619826	228.0	43.55073669	57.56445663	14.73091986	1	218	true
JAK1	chr1	64890772	64890945	64890845	64890873	19	4	14.156875	6	13	9	1	-1.0	3	6	10	3	-1.0	3	7	0.03817015529218282	14.182760731554103	191.25	74.90605227	101.2110007	53.98379386	1	173	true
JAK1	chr1	64891090	64891360	64891274	64891295	19	11	42.325344	0	19	8	4	37.998886	0	8	11	7	45.380947	0	11	0.00009175925924430112	40.37350101072471	347.3636364	232.0031348	90.74259299	205.6187116	1	270	true
JAK1	chr1	64891567	64891906	64891635	64891642	20	13	48.3431	2	18	8	6	58.193756	1	7	12	7	41.692657	1	11	8.091774293790398e-6	50.91956239634357	357.3076923	216.4799393	197.9816749	154.1349725	1	339	true
JAK1	chr1	64893171	64893453	64893313	64893319	21	4	13.698079	12	9	8	2	-1.0	4	4	13	2	-1.0	8	5	0.0424574832866007	13.720457526838079	278.25	177.2989472	106.5707902	113.3030597	1	282	true
JAK1	chr1	64893936	64894145	64893994	64894000	19	4	14.998975	10	9	7	3	-1.0	2	5	12	1	-1.0	8	4	0.03355606156071462	14.742290175340834	226.25	95.4092064	75.79522852	104.7950381	1	209	true
JAK1	chr1	64894895	64895077	64895002	64895023	15	5	23.849781	5	10	4	2	-1.0	2	2	11	3	-1.0	3	8	0.003805893749369707	24.195433402493506	294.6	159.9071606	63.92730246	176.6898412	1	182	true
