gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358411	43359139	43358479	43358493	27	6	15.570207	8	19	16	5	21.576439	4	12	11	1	-1.0	4	7	0.03561539566172044	14.48362226589736	664.0	313.3011331	116.7692882	295.0475668	1	728	true
CDC20	chr1	43358607	43359120	43358762	43358844	25	23	65.961815	0	25	15	13	62.585136	0	15	10	10	70.92685	0	10	0.0	100.0	556.1304348	174.9598147	123.2416727	108.2597703	1	513	true
JAK1	chr1	64890736	64890934	64890867	64890881	31	7	16.760906	11	20	17	6	25.971529	5	12	14	1	-1.0	6	8	0.027685496465830014	15.5774768416443	191.0	26.87625966	58.2523247	72.95203904	1	198	true
JAK1	chr1	64891175	64891388	64891329	64891333	33	10	21.76525	14	19	19	6	22.443382	8	11	14	4	20.7735	6	8	0.007297933048184394	21.368001252050576	239.7	94.8882969	60.95070868	100.8598588	1	213	true
JAK1	chr1	64891413	64891660	64891489	64891494	33	9	20.75589	9	24	19	8	31.76447	4	15	14	1	-1.0	5	9	0.009177599633039359	20.372708920493274	265.2222222	109.2082618	93.76166594	71.45764091	1	247	true
JAK1	chr1	64893259	64893516	64893321	64893335	38	10	20.281712	12	26	21	5	17.604324	6	15	17	5	23.530252	6	11	0.009603947298497296	20.175502317922916	249.7	106.6052427	48.3447113	91.0728646	1	257	true
JAK1	chr1	64894893	64895085	64894997	64895001	39	19	36.130157	8	31	22	13	44.664627	4	18	17	6	25.026724	4	13	0.0011157761745778862	29.52422916415366	270.0	91.73149223	98.92805585	89.09597952	1	192	true
JAK1	chr1	64898113	64898338	64898197	64898215	36	11	23.182549	9	27	22	6	20.951136	4	18	14	5	26.617636	5	9	0.005361369556589913	22.707242560359965	201.6363636	31.72781974	24.09677459	33.40685831	1	225	true
JAK1	chr1	64911494	64911687	64911553	64911565	32	7	15.416935	16	16	23	5	15.024112	13	10	9	2	-1.0	3	6	0.03586194870116887	14.453661150200631	217.5714286	73.23673291	88.39440836	54.99220724	1	193	true
JAK1	chr1	64911820	64912225	64912007	64912026	32	13	28.688066	10	22	24	10	29.257982	7	17	8	3	-1.0	3	5	0.002941145455969476	25.314834966888483	354.1538462	125.5055418	63.35401147	95.00931128	1	405	true
JAK1	chr1	64912253	64912467	64912352	64912357	32	9	21.130627	8	24	24	6	18.257027	8	16	8	3	-1.0	0	8	0.007574703645710416	21.206343539214146	251.6666667	134.8971831	157.9018683	47.9895822	1	214	true
JAK1	chr1	64913038	64913322	64913176	64913184	32	13	28.965717	4	28	24	10	29.800653	2	22	8	3	-1.0	2	6	0.0028418603972881398	25.4639726003858	467.9230769	343.2818234	61.90988074	369.556144	1	284	true
JAK1	chr1	64913320	64913986	64913730	64913778	31	21	48.381435	2	29	23	16	49.963234	2	21	8	5	43.708763	0	8	0.00004911052510351982	43.08825422245063	648.1428571	280.1853468	199.4772215	144.1736717	1	666	true
JAK1	chr1	64913673	64914258	64914127	64914133	34	12	24.721645	11	23	25	9	25.305103	7	18	9	3	-1.0	4	5	0.004679025473127051	23.298445904546668	598.0	379.787261	408.8696447	73.14633527	1	585	true
JAK1	chr1	64917300	64917616	64917451	64917465	37	22	45.147205	10	27	21	14	50.370728	5	16	8	3	-1.0	4	4	0.00006390233841951778	41.944832491325045	323.2272727	138.8434994	82.89533379	116.6694465	1	316	true
JAK1	chr1	64929379	64929618	64929520	64929524	37	9	16.964022	7	30	8	2	-1.0	1	7	4	1	-1.0	0	4	0.022149979046286728	16.546266802800247	218.7777778	32.72146764	40.10922587	27.09140905	1	239	true
JAK1	chr1	64962384	64962779	64962560	64962579	33	17	38.34352	8	25	11	6	39.189957	2	9	22	11	37.87485	6	16	0.0006244098133648766	32.04530280086359	405.2352941	163.140863	94.71400449	107.7676217	1	395	true
JAK1	chr1	64965214	64965637	64965286	64965301	31	8	18.034563	13	18	8	2	-1.0	3	5	20	4	13.896825	9	11	0.016721998767867223	17.767118129033204	385.75	162.7748226	56.77964927	140.696228	1	423	true
JAK1	chr1	64965435	64965678	64965566	64965584	32	11	24.34224	3	29	8	1	-1.0	1	7	20	8	28.99239	2	18	0.004780094249347119	23.205635402983738	359.0909091	152.418801	157.6771731	86.44073114	1	243	true
JAK1	chr1	64966324	64966770	64966449	64966480	31	27	72.28091	2	29	7	6	72.24822	1	6	19	17	73.80126	1	18	0.0	100.0	434.5925926	128.4649785	96.30175746	113.654986	1	446	true
JAK1	chr1	64974528	64974769	64974676	64974680	31	13	32.063995	13	18	5	2	-1.0	2	3	15	4	21.492662	9	6	0.0023263041746854913	26.333334999469326	256.2307692	100.610763	114.3471435	52.88570162	1	241	true
JAK1	chr1	64979672	64979921	64979891	64979905	28	9	22.828974	12	16	4	1	-1.0	2	2	15	5	23.745785	6	9	0.005510748679445205	22.587893947482463	326.7777778	140.9359587	126.0090385	172.2062717	1	249	true
JAK1	chr1	64980208	64980409	64980295	64980298	29	9	23.09354	12	17	4	2	-1.0	2	2	15	5	24.355555	5	10	0.005398851504709384	22.676986176245535	254.1111111	136.2520132	131.9761132	79.58398778	1	201	true
JAK1	chr1	65002555	65002780	65002713	65002720	26	17	50.413864	5	21	8	6	54.925766	0	8	16	10	49.060997	4	12	0.00003156586938840055	45.00782244816418	312.4705882	172.5938577	147.3771672	147.1716435	1	225	true
JAK1	chr1	65002753	65003007	65002864	65002866	26	12	33.694862	6	20	8	5	43.708763	1	7	16	6	27.501112	5	11	0.0018043112081094397	27.436885530977836	290.5	162.5285989	127.7170167	101.8747002	1	254	true
JAK1	chr1	65026245	65026474	65026386	65026392	31	11	24.865112	7	24	10	2	-1.0	5	5	18	6	23.323158	2	16	0.004591870835379622	23.380103366969372	270.3636364	139.6597814	104.2237977	161.2509056	1	229	true
JAK1	chr1	65060018	65060208	65060104	65060153	28	8	19.790514	1	27	6	0	-1.0	1	5	22	8	25.187927	0	22	0.011064201058237058	19.56079940844379	196.25	40.4042077	16.68564396	42.86002966	1	190	true
JAK1	chr1	65062583	65062742	65062654	65062657	24	5	15.369203	7	17	5	1	-1.0	1	4	19	4	14.920124	6	13	0.037715329461196656	14.234820941642706	191.4	52.53855727	32.5146121	43.68294862	1	159	true
JAK1	chr1	65065026	65065266	65065077	65065083	22	6	19.781816	11	11	7	1	-1.0	6	1	15	5	23.321428	5	10	0.011064961822917177	19.560500801664574	242.1666667	71.078595	66.02928643	83.73231156	1	240	true
JAK1	chr1	65066440	65066616	65066480	65066491	25	6	18.149187	10	15	7	2	-1.0	3	4	18	4	17.138882	7	11	0.016620383965480358	17.793589473290943	221.1666667	87.67991028	50.11054447	101.9557093	1	176	true
JAK1	chr1	65066685	65066873	65066759	65066777	25	9	27.758398	9	16	7	6	67.708015	1	6	18	3	-1.0	8	10	0.003327349265991137	24.779016096116784	336.5555556	195.4393199	85.68417461	220.5297284	1	188	true
JAK1	chr1	65067111	65067279	65067183	65067192	24	13	39.23314	6	18	7	5	52.19047	1	6	17	8	33.838947	5	12	0.00038302940816413206	34.16767880566371	327.9230769	245.2228448	191.555977	219.839656	1	168	true
JAK1	chr1	65067260	65067527	65067354	65067355	25	13	41.29417	6	19	7	4	46.55732	0	7	18	9	39.19184	6	12	0.0001271501362918232	38.95683169969161	311.1538462	219.473934	170.1228063	177.9959665	1	267	true
JAK1	chr1	65067659	65068153	65067838	65067844	23	7	21.958529	8	15	6	2	-1.0	1	5	17	5	21.300247	7	10	0.007154422143129752	21.454254381005327	375.8571429	255.2641955	229.2871977	108.1986709	1	494	true
GNG5	chr1	84505565	84505835	84505737	84505746	30	11	27.4523	10	20	0	0	-1.0	0	0	1	1	-1.0	0	1	0.0035313056548441067	24.520646901210977	310.1818182	207.1327199	90.02141159	175.912685	1	270	true
GNG5	chr1	84505866	84506042	84505961	84505982	30	19	49.00397	5	25	0	0	-1.0	0	0	1	0	-1.0	0	1	0.00004911052510351982	43.08825422245063	363.0	263.9219161	111.4878642	252.3480609	1	176	true
GNG5	chr1	84506113	84506426	84506188	84506298	27	26	78.208694	1	26	0	0	-1.0	0	0	1	1	-1.0	0	1	0.0	100.0	404.3076923	208.2211842	145.3753603	143.6289504	1	313	true
GNG5	chr1	84506462	84506686	84506530	84506537	27	15	41.67878	4	23	0	0	-1.0	0	0	1	0	-1.0	1	0	0.0001140652424670601	39.42846672009247	365.3333333	258.2179773	223.5201706	149.176246	1	224	true
GNG5	chr1	84506703	84506901	84506829	84506840	26	15	41.9998	4	22	0	0	-1.0	0	0	0	0	-1.0	0	0	0.00011206735849582645	39.50520864563333	330.0	253.2486074	256.4092339	33.9850107	1	198	true
GNG5	chr1	84507073	84507243	84507132	84507145	25	5	13.924487	12	13	0	0	-1.0	0	0	0	0	-1.0	0	0	0.04528008609288611	13.440927560770767	202.6	74.49362389	51.26109636	118.7400522	1	170	true
GTPBP4	chr10	988235	988514	988301	988429	19	18	76.11767	0	19	0	0	-1.0	0	0	0	0	-1.0	0	0	0.0	100.0	373.5	214.9971956	87.31426599	148.8800895	1	279	true
EGR2	chr10	62814989	62815271	62815127	62815132	32	11	24.79961	11	21	0	0	-1.0	0	0	0	0	-1.0	0	0	0.004585572703515606	23.38606416494681	282.1818182	161.7336194	110.8742121	130.4687354	1	282	true
EGR2	chr10	62815363	62815517	62815440	62815456	32	7	15.306374	8	24	0	0	-1.0	0	0	0	0	-1.0	0	0	0.03779599519078861	14.225542149427593	232.2857143	210.5340149	169.9504129	46.21121282	1	154	true
EGR2	chr10	62816289	62816559	62816364	62816459	33	29	67.40803	0	33	0	0	-1.0	0	0	0	0	-1.0	0	0	0.0	100.0	334.6551724	214.1059944	112.9911719	136.7709422	1	270	true
EGR2	chr10	62816619	62816879	62816701	62816721	33	24	54.44068	2	31	0	0	-1.0	0	0	0	0	-1.0	0	0	0.0	100.0	348.9583333	231.9009307	225.4816423	57.45998923	1	260	true
EGR2	chr10	62818023	62818242	62818195	62818196	33	26	59.18766	2	31	0	0	-1.0	0	0	0	0	-1.0	0	0	0.0	100.0	278.0384615	159.7343997	132.0257609	69.4496608	1	219	true
FBXW4	chr10	101639030	101639193	101639116	101639119	29	6	14.83253	11	18	0	0	-1.0	0	0	0	0	-1.0	0	0	0.03952650480512386	14.031115871485351	233.1666667	107.5014729	105.7582148	102.0282641	1	163	true
FBXW4	chr10	101663108	101663401	101663314	101663325	28	7	18.990713	10	18	0	0	-1.0	0	0	0	0	-1.0	0	0	0.014307472213247244	18.444370888684716	260.1428571	93.72020161	98.80259299	45.13999388	1	293	true
FBXW4	chr10	101683087	101683452	101683268	101683273	26	6	16.014214	13	13	0	0	-1.0	0	0	0	0	-1.0	0	0	0.03391933004114857	14.695527343134874	417.5	165.2522315	31.07678662	178.1265468	1	365	true
FBXW4	chr10	101693707	101694102	101693835	101693841	22	5	17.146257	9	13	0	0	-1.0	0	0	0	0	-1.0	0	0	0.022133865530521	16.549427328430685	446.0	335.3267064	95.86187981	254.2056254	1	395	true
FBXW4	chr10	101694024	101694490	101694331	101694344	22	12	40.51355	4	18	0	0	-1.0	0	0	0	0	-1.0	0	0	0.00012453742642989246	39.0470011323197	393.25	224.7763029	215.5200898	94.19817118	1	466	true
FBXW4	chr10	101694797	101695238	101695094	101695095	23	13	42.033844	6	17	0	0	-1.0	0	0	0	0	-1.0	0	0	0.00011206735849582645	39.50520864563333	442.6153846	308.2130049	209.5795547	234.0356646	1	441	true
FBXW4	chr10	101695086	101695874	101695751	101695755	23	6	17.901838	4	19	0	0	-1.0	0	0	0	0	-1.0	0	0	0.016824071499463765	17.740688946395796	389.1666667	377.0323151	382.1985958	18.20988742	1	788	true
CTSD	chr11	1763897	1764158	1763962	1764082	9	5	41.03876	0	9	7	3	-1.0	0	7	1	1	-1.0	0	1	0.0001271501362918232	38.95683169969161	304.0	184.2566145	89.76914838	101.2521605	1	261	true
CDKN1C	chr11	2884972	2885212	2885051	2885053	21	6	21.99926	10	11	13	2	-1.0	8	5	8	4	38.28487	2	6	0.007078712022410891	21.500457553674103	249.1666667	82.64482238	57.17225434	131.4540477	1	240	true
CDKN1C	chr11	2885233	2885482	2885416	2885432	21	8	27.003729	6	15	13	7	38.21164	2	11	8	1	-1.0	4	4	0.0038142117622551575	24.18595198907772	375.625	366.6239558	105.4500559	330.2652343	1	249	true
CDKN1C	chr11	2885542	2886133	2885645	2885646	20	7	24.33483	4	16	12	6	35.027386	1	11	8	1	-1.0	3	5	0.004780094249347119	23.205635402983738	586.4285714	442.9367363	190.4728452	395.5383312	1	591	true
CDKN1C	chr11	2885764	2886139	2886003	2886006	18	14	58.4383	1	17	11	9	61.658413	0	11	7	5	53.23527	1	6	0.0	100.0	467.1428571	323.7653132	196.7579536	181.0800321	1	375	true
CDKN1C	chr11	2885770	2886542	2886383	2886386	18	4	15.479824	4	14	11	1	-1.0	2	9	7	3	-1.0	2	5	0.03587288777778203	14.452336610860968	841.25	416.5896262	532.6340207	277.3894675	1	772	true
SOX6	chr11	15968077	15968336	15968228	15968237	24	5	14.560493	11	13	13	5	26.88091	5	8	8	0	-1.0	3	5	0.041297748089254044	13.840736291928613	247.4	39.99124904	85.27426341	56.50929127	1	259	true
SOX6	chr11	15989084	15989324	15989188	15989190	50	12	19.132387	17	33	36	10	21.560314	9	27	14	2	-1.0	8	6	0.013873863696242633	18.578025765411482	285.0833333	159.450453	123.8308658	76.64143195	1	240	true
SOX6	chr11	16001365	16001552	16001466	16001474	40	13	23.99007	14	26	19	5	19.281235	6	13	21	8	28.202831	8	13	0.004929203658860036	23.072232378217645	237.6923077	157.2431157	51.53216571	149.7842893	1	187	true
SOX6	chr11	16001816	16002367	16002133	16002135	39	33	64.934204	1	38	20	15	57.08599	1	19	19	18	73.142845	0	19	0.0	100.0	502.9393939	170.2496218	100.1118976	136.0481686	1	551	true
SOX6	chr11	16003022	16003261	16003117	16003132	42	12	20.480595	8	34	21	9	31.201555	6	15	21	3	-1.0	2	19	0.00952307250750206	20.21222908992553	274.5833333	118.9999682	123.4808291	116.4841971	1	239	true
SOX6	chr11	16019014	16019221	16019076	16019082	36	9	18.241154	7	29	26	7	19.999483	5	21	10	2	-1.0	2	8	0.01651709636489228	17.820662974236473	233.0	79.72922927	84.67257197	53.19722215	1	207	true
SOX6	chr11	16022077	16022640	16022469	16022472	38	10	18.85978	7	31	27	8	20.97506	4	23	11	2	-1.0	3	8	0.01424285943578502	18.464028117864434	455.0	196.5960325	156.4585852	62.7973814	1	563	true
SOX6	chr11	16024633	16024949	16024730	16024738	38	10	18.770634	9	29	23	5	15.293033	5	18	12	3	-1.0	4	8	0.014504924210576116	18.384845360798327	390.8	188.8796207	108.3758891	189.7482543	1	316	true
SOX6	chr11	16024901	16025162	16024999	16025008	38	12	23.54983	9	29	22	6	19.858105	5	17	12	5	31.299652	2	10	0.005227564503023094	22.817005997089197	314.5	193.9289936	152.3350573	87.57680612	1	261	true
SOX6	chr11	16025930	16026118	16026049	16026068	37	9	18.257383	11	26	20	6	21.721954	5	15	11	1	-1.0	4	7	0.01652007044691408	17.819881050398003	212.8888889	69.01529621	67.71898634	51.75422688	1	188	true
