gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358610	43359062	43358875	43358915	35	29	60.855747	1	34	19	15	57.259674	1	18	16	14	65.06359	0	16	0.0	100.0	471.7586207	122.0961726	95.94525841	96.4515499	1	452	true
CDC20	chr1	43359810	43360022	43359928	43359940	33	5	10.898723	18	15	19	3	-1.0	9	10	14	2	-1.0	9	5	0.03433238842275511	14.642959826872225	214.0	53.08012811	59.15065511	72.74132251	1	212	true
JAK1	chr1	64834889	64835078	64834987	64834999	50	8	12.179644	24	26	26	6	17.416843	11	15	24	2	-1.0	13	11	0.01934431912201986	17.134465518953643	246.125	138.1556446	17.70744396	143.0913794	1	189	true
JAK1	chr1	64836426	64836746	64836606	64836609	50	10	14.4997635	18	32	28	5	13.517693	10	18	22	5	15.704218	8	14	0.010052537164743221	19.97724312613207	365.2	157.566776	104.3513829	172.5926804	1	320	true
JAK1	chr1	64890754	64890945	64890879	64890889	44	7	12.892273	25	19	26	5	15.683401	14	12	18	2	-1.0	11	7	0.015278459948011745	18.15920419961126	221.8571429	52.29540634	62.80316947	95.12948569	1	191	true
JAK1	chr1	64891159	64891355	64891266	64891291	45	26	43.12275	7	38	26	15	42.788677	3	23	19	11	43.52728	4	15	0.0	100.0	233.3076923	138.6341283	60.88693178	151.3913319	1	196	true
JAK1	chr1	64891608	64891849	64891670	64891671	44	23	40.277607	10	34	27	12	35.39522	6	21	17	11	47.97316	4	13	0.0	100.0	297.7391304	148.9485016	126.0363051	93.60065707	1	241	true
JAK1	chr1	64892691	64892927	64892757	64892764	44	7	11.608428	20	24	28	2	-1.0	15	13	16	5	22.568378	5	11	0.024590629066282545	16.092303611953703	262.8571429	131.8160695	62.67109913	158.5490761	1	236	true
JAK1	chr1	64892871	64893136	64892988	64892990	45	9	14.4063425	17	28	28	5	12.814507	13	15	17	4	16.969364	4	13	0.01026118382391281	19.88802532154566	305.0	123.6547613	107.0090858	110.3525915	1	265	true
JAK1	chr1	64893254	64893520	64893413	64893414	46	11	17.679703	16	30	29	8	20.218872	10	19	17	3	-1.0	6	11	0.004850072750732273	23.142517469637948	269.0	105.8224929	104.5648994	68.53041793	1	266	true
