gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358659	43359062	43358885	43358987	26	23	65.51197	1	25	14	13	69.34774	1	13	12	10	60.95357	0	12	0.0	100.0	437.4347826	155.2267626	104.614727	89.18710625	1	403	true
JAK1	chr1	64836399	64836797	64836504	64836513	36	8	17.659323	13	23	17	1	-1.0	7	10	19	7	28.711136	6	13	0.0303228992181292	15.182292775043472	378.875	216.9736241	75.37323796	167.8068618	1	398	true
JAK1	chr1	64864081	64864405	64864336	64864339	43	13	24.009502	16	27	22	8	29.259554	7	15	20	5	19.38492	9	11	0.007399090934787875	21.30821635168666	300.6923077	87.04441837	111.7045095	64.36554262	1	324	true
JAK1	chr1	64865244	64865415	64865336	64865341	41	9	16.595688	15	26	20	2	-1.0	9	11	20	6	22.164913	6	14	0.043700945053596174	13.59509171104544	213.3333333	85.69714114	54.12947441	107.2601977	1	171	true
JAK1	chr1	64891159	64891355	64891274	64891283	32	17	40.360237	9	23	12	5	31.574484	3	9	20	12	45.581688	6	14	0.0004265449393583377	33.70035206261542	262.2941176	112.2089372	88.8482265	107.5464332	1	196	true
JAK1	chr1	64891580	64891864	64891788	64891789	30	16	40.558857	8	22	12	6	36.945477	2	10	18	10	42.91223	6	12	0.000355050725641374	34.49709595417088	287.1875	110.4754686	95.81368639	78.22350457	1	284	true
JAK1	chr1	64893254	64893504	64893319	64893320	29	15	38.34056	5	24	12	6	36.52287	2	10	17	9	39.56481	3	14	0.0009893381478652938	30.0465524464949	269.0	109.4655849	76.96517456	83.90510513	1	250	true
JAK1	chr1	64894843	64895183	64895018	64895039	31	17	40.424194	6	25	11	6	39.042717	2	9	20	11	41.134018	4	16	0.00039277245991898994	34.058589713039325	374.0588235	188.5624799	111.8277299	180.08705	1	340	true
JAK1	chr1	64898103	64898363	64898223	64898243	34	13	28.605703	4	30	12	4	25.768988	2	10	22	9	30.107546	2	20	0.004300092268397633	23.665222255306393	327.7692308	143.3644272	68.94516587	121.3400076	1	260	true
JAK1	chr1	64898600	64898799	64898772	64898781	34	8	17.183455	17	17	11	3	-1.0	7	4	23	5	16.21905	10	13	0.03531550856988955	14.52034535200543	229.25	101.4392851	91.23869793	66.24845012	1	199	true
JAK1	chr1	64909100	64909393	64909232	64909268	30	11	27.163858	9	21	12	3	-1.0	5	7	18	8	33.456577	4	14	0.005145251063636352	22.885934288915145	366.7272727	198.9286761	174.0064785	133.6962636	1	293	true
JAK1	chr1	64913240	64913891	64913754	64913785	29	15	39.65437	3	26	9	6	49.31038	1	8	20	9	35.259163	2	18	0.000545248078663126	32.63405856106846	437.4666667	222.0154006	200.4615626	72.29252744	1	651	true
JAK1	chr1	64917203	64917520	64917308	64917324	24	9	28.162497	6	18	7	1	-1.0	3	4	17	8	35.487354	3	14	0.00463750044067537	23.33716036108354	314.8888889	146.0680017	84.48964434	114.2797493	1	317	true
JAK1	chr1	64917516	64917804	64917645	64917650	22	10	37.999367	6	16	6	2	-1.0	2	4	16	8	42.831196	4	12	0.0011331090098042507	29.457283071894533	300.4	104.3905062	145.2423262	93.83105385	1	288	true
JAK1	chr1	64921869	64922140	64922004	64922007	27	7	20.49701	9	18	10	1	-1.0	5	5	17	6	28.538933	4	13	0.014791088000593483	18.299998790609084	285.0	126.676754	73.0694386	126.8167031	1	271	true
JAK1	chr1	64933447	64933748	64933601	64933605	26	9	25.12986	8	18	10	3	-1.0	2	8	16	6	27.779057	6	10	0.006552559454416221	21.835890298078787	342.1111111	161.3570919	83.87457567	102.5456538	1	301	true
JAK1	chr1	64934058	64934378	64934188	64934189	28	8	19.9115	8	20	11	2	-1.0	3	8	17	6	24.765133	5	12	0.01736583258555054	17.603043900876145	373.5	257.3419071	70.62969327	255.0229331	1	320	true
JAK1	chr1	64934215	64934613	64934357	64934369	28	11	28.630419	10	18	11	4	26.91507	5	6	17	7	29.681526	5	12	0.0041846631041093955	23.783395001356435	423.0909091	258.1656269	127.8943456	250.3382076	1	398	true
JAK1	chr1	64934950	64935142	64935028	64935049	28	8	21.533794	10	18	11	3	-1.0	5	6	17	5	23.015236	5	12	0.011622678491309118	19.346937755647172	267.625	253.4853828	221.9536229	41.09831418	1	192	true
JAK1	chr1	64948236	64948454	64948355	64948356	27	8	21.072073	12	15	12	3	-1.0	6	6	15	5	24.772017	6	9	0.014081384953315847	18.513546287164147	218.0	139.8621771	92.84510911	84.89615505	1	218	true
JAK1	chr1	64949289	64949490	64949363	64949385	26	10	28.115685	8	18	13	1	-1.0	6	7	13	9	51.126144	2	11	0.004635422961708877	23.339106322734168	251.3	106.4206016	74.44490879	93.12005393	1	201	true
JAK1	chr1	64949564	64949766	64949670	64949677	27	12	33.85536	4	23	14	7	38.484047	2	12	13	5	28.793697	2	11	0.002499214694865298	26.02196434233592	241.5	99.66443699	93.47856666	61.87205763	1	202	true
JAK1	chr1	64961913	64962165	64962053	64962070	23	5	16.85614	11	12	12	3	-1.0	6	6	11	2	-1.0	5	6	0.03796238825754089	14.20646473419541	239.6	69.1035455	84.18847902	58.33780935	1	252	true
JAK1	chr1	64962365	64962760	64962582	64962604	22	11	38.717392	3	19	12	9	57.60263	1	11	10	2	-1.0	2	8	0.0008255311203844174	30.83266550315814	375.0909091	165.4578221	118.0455998	115.7212953	1	395	true
JAK1	chr1	64965432	64965639	64965484	64965486	21	12	42.57495	5	16	11	7	47.575157	1	10	10	5	36.97473	4	6	0.0001880063726747899	37.25827429616161	287.5	132.5247833	109.5365928	95.89147117	1	207	true
JAK1	chr1	64966442	64966761	64966534	64966540	20	19	80.20503	0	20	11	11	84.921196	0	11	9	8	74.32974	0	9	0.0	100.0	376.8947368	108.684505	119.8793741	79.49357251	1	319	true
JAK1	chr1	64966792	64966973	64966894	64966916	20	5	17.731968	7	13	11	4	25.846575	4	7	9	1	-1.0	3	6	0.030063581410188604	15.219592840939637	295.8	176.2631555	168.1151391	148.9714738	1	181	true
