gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358620	43359034	43358759	43358928	33	30	71.602356	1	32	13	13	79.493195	0	13	20	17	66.42332	1	19	0.0	100.0	455.7	154.9763386	76.01330797	105.0771419	1	414	true
CDC20	chr1	43359114	43359290	43359184	43359188	33	9	18.370955	11	22	13	5	25.777035	3	10	20	4	13.507004	8	12	0.004329719889567349	23.63540199339525	444.5555556	329.0391736	324.9038747	116.7625796	1	176	true
JAK1	chr1	64836296	64836632	64836444	64836445	38	7	12.839856	26	12	20	3	-1.0	13	7	18	4	15.652459	13	5	0.017335393210392267	17.610663030028636	300.5714286	105.4669887	124.2922823	91.62683117	1	336	true
JAK1	chr1	64890759	64890916	64890861	64890875	40	10	17.950333	19	21	26	7	19.355625	13	13	14	3	-1.0	6	8	0.004687866521201871	23.290247625895297	155.8	41.40799708	58.2977034	31.28009662	1	157	true
JAK1	chr1	64891148	64891355	64891249	64891266	38	14	29.405151	10	28	24	8	26.298624	7	17	14	6	34.659203	3	11	0.00011061598649676475	39.5618210317954	220.5	64.32100985	55.78338206	40.19540185	1	207	true
JAK1	chr1	64891467	64891639	64891553	64891559	37	10	20.412743	16	21	23	5	15.930433	10	13	14	5	27.705103	6	8	0.002178608957111291	26.618207151457614	186.7	71.06186663	23.94809201	73.08206954	1	172	true
JAK1	chr1	64893246	64893528	64893450	64893472	40	10	19.6983	19	21	26	7	20.998522	11	15	14	3	-1.0	8	6	0.002686186844411943	25.708637821829857	230.1	81.21090512	101.3396928	34.96045385	1	282	true
JAK1	chr1	64894895	64895041	64894994	64895002	38	9	17.397062	15	23	27	7	19.135122	11	16	11	2	-1.0	4	7	0.005514328950745638	22.585073301358584	138.4444444	22.83150844	43.82477737	43.33878171	1	146	true
JAK1	chr1	64898136	64898328	64898208	64898218	39	16	33.14815	6	33	27	9	27.816862	5	22	12	7	45.060215	1	11	0.000040616752422746076	43.91294804251375	196.3125	47.71822678	33.14211822	36.66827648	1	192	true
JAK1	chr1	64898638	64898788	64898693	64898702	39	6	10.8576	16	23	28	2	-1.0	13	15	11	4	25.688566	3	8	0.03731852691245604	14.280755076484247	150.1666667	17.99351735	30.87663626	26.35652987	1	150	true
