gene_name	chrom	peak_start	peak_end	start	end	coverage	fire_coverage	score	nuc_coverage	msp_coverage	coverage_H1	fire_coverage_H1	score_H1	nuc_coverage_H1	msp_coverage_H1	coverage_H2	fire_coverage_H2	score_H2	nuc_coverage_H2	msp_coverage_H2	FDR	log_FDR	FIRE_size_mean	FIRE_size_ssd	FIRE_start_ssd	FIRE_end_ssd	local_max_count	peak_length	pass_coverage
CDC20	chr1	43358635	43359006	43358771	43358815	37	34	73.04866	1	36	4	4	77.75693	0	4	2	1	-1.0	0	2	0.0	100.0	342.3235294	96.0939315	37.15794683	99.27030116	1	371	true
CDC20	chr1	43359111	43359257	43359197	43359203	38	7	13.192816	15	23	4	0	-1.0	2	2	2	0	-1.0	2	0	0.04657348643389989	13.318612500997029	268.7142857	188.9388916	219.6018041	75.69330347	1	146	true
JAK1	chr1	64891158	64891310	64891212	64891224	34	12	26.9163	12	22	13	7	40.642494	4	9	21	5	18.371513	8	13	0.00203058479270978	26.923788706225594	236.75	287.5113041	83.51968558	209.1066858	1	152	true
JAK1	chr1	64891598	64891853	64891647	64891660	32	14	34.145416	8	24	13	6	34.975235	5	8	19	8	33.525013	3	16	0.0009810646640399884	30.083023664118848	296.0	255.0375538	199.6542066	102.7227144	1	255	true
JAK1	chr1	64893250	64893503	64893413	64893414	32	12	28.409687	11	21	14	5	28.209848	5	9	18	7	28.509556	6	12	0.0015986354377195402	27.96250564045071	214.0833333	98.60339136	80.12868438	60.53317398	1	253	true
JAK1	chr1	64894895	64895065	64894988	64894994	31	13	32.147537	10	21	15	7	37.356323	5	10	16	6	27.201801	5	11	0.00124636551529653	29.04354575656437	187.8461538	68.61710933	38.74836638	66.58626562	1	170	true
JAK1	chr1	64898173	64898338	64898274	64898278	33	17	38.865	7	26	18	7	30.247463	4	14	15	10	49.13939	3	12	0.00033777794561775076	34.71368710032017	176.8823529	48.69789825	56.00886222	46.51549394	1	165	true
JAK1	chr1	64898654	64898797	64898749	64898759	31	6	13.718585	18	13	18	2	-1.0	15	3	13	4	21.877224	3	10	0.04191484706575241	13.776321141079366	142.0	23.63895091	46.59792556	49.6000672	1	143	true
JAK1	chr1	64913501	64913932	64913749	64913794	36	32	70.792854	0	36	13	12	72.90504	0	13	23	20	69.555534	0	23	0.0	100.0	394.6875	144.2648634	110.0371959	73.41847986	1	431	true
JAK1	chr1	64917278	64917492	64917377	64917382	33	15	34.516388	15	18	9	4	33.708817	4	5	13	6	33.58052	6	7	0.0009337184721490039	30.297840492760137	231.7333333	108.6688723	68.00931309	92.03637997	1	214	true
JAK1	chr1	64917538	64917726	64917644	64917645	33	6	13.961648	16	17	9	1	-1.0	3	6	13	5	28.873528	6	7	0.040149728760882616	13.963173843342382	290.3333333	146.1857266	182.3258073	87.64340629	1	188	true
JAK1	chr1	64917745	64917882	64917800	64917820	33	7	16.2466	10	23	9	0	-1.0	3	6	13	4	23.224728	4	9	0.029213564690437403	15.344154464180857	197.7142857	72.64460128	84.21768845	68.65302685	1	137	true
JAK1	chr1	64921070	64921284	64921149	64921167	33	16	38.32036	11	22	8	3	-1.0	1	7	10	5	40.380936	5	5	0.0003839753589796731	34.156966449098746	233.9375	85.50903948	46.36359923	70.78556232	1	214	true
JAK1	chr1	64930345	64930552	64930427	64930433	31	7	18.145521	22	9	11	3	-1.0	7	4	7	2	-1.0	5	2	0.014067836515939165	18.51772687315434	264.8571429	117.6597192	95.57370629	71.04559234	1	207	true
JAK1	chr1	64949291	64949503	64949437	64949448	34	7	14.624684	17	17	14	4	20.22028	7	7	13	1	-1.0	8	5	0.03721056641761064	14.293337191165874	270.4285714	124.5884654	35.61701038	135.4753536	1	212	true
JAK1	chr1	64949572	64949749	64949650	64949654	34	13	27.695435	10	24	14	4	19.591383	3	11	13	6	34.975235	4	9	0.001757751855867821	27.55042434855997	227.3846154	106.5712113	106.7828494	48.15706141	1	177	true
JAK1	chr1	64952044	64952292	64952134	64952135	33	10	23.631323	14	19	14	3	-1.0	8	6	13	4	23.482216	5	8	0.0034709688871534207	24.595492792119487	226.3	104.5966326	102.0908637	73.71084648	1	248	true
JAK1	chr1	64955268	64955391	64955300	64955302	33	7	15.670639	16	17	16	4	18.797176	6	10	16	3	-1.0	10	6	0.032359350347381306	14.900002059528305	150.0	54.01542989	46.59296902	13.65911522	1	123	true
JAK1	chr1	64956112	64956282	64956183	64956187	35	7	14.804184	16	19	17	2	-1.0	8	9	17	5	20.900442	7	10	0.03699816035904248	14.318198696027075	160.4285714	15.93588344	50.86068741	50.61243965	1	170	true
JAK1	chr1	64956289	64956480	64956387	64956394	35	8	17.213299	8	27	17	4	17.881828	3	14	17	3	-1.0	5	12	0.01921399296127149	17.16382372730927	186.625	60.34646989	26.45076288	44.51464446	1	191	true
JAK1	chr1	64962558	64962916	64962897	64962898	36	9	19.86849	17	19	14	3	-1.0	7	7	17	6	27.188393	6	11	0.009480067579269518	20.231885667548415	230.2222222	110.7110855	154.2450251	77.08076572	1	358	true
JAK1	chr1	64965499	64965645	64965596	64965607	36	11	21.617928	8	28	13	3	-1.0	2	11	18	6	23.735765	4	14	0.005823107004624586	22.348452292821488	191.2727273	97.61054339	50.11405174	90.35636517	1	146	true
JAK1	chr1	64966250	64966408	64966323	64966329	39	10	19.799757	10	29	15	6	29.296423	2	13	19	4	17.460224	7	12	0.00947768627813813	20.232976710247176	284.7	191.2503014	44.62137007	198.5482029	1	158	true
JAK1	chr1	64966449	64966761	64966539	64966540	38	36	85.29665	1	37	15	13	77.59421	1	14	19	19	91.54311	0	19	0.0	100.0	322.0	105.6911944	75.17536641	79.64793065	1	312	true
JAK1	chr1	64984176	64984358	64984268	64984275	48	9	13.912044	22	26	24	5	15.901021	12	12	14	2	-1.0	6	8	0.04007496477429142	13.971268507164895	209.6666667	120.158229	52.59937684	142.6614096	1	182	true
JAK1	chr1	64996736	64996929	64996838	64996841	37	9	19.670568	18	19	16	5	26.035812	8	8	16	4	19.389877	7	9	0.009505190918315616	20.220391556067167	185.1111111	47.34037506	48.19693397	47.81329429	1	193	true
JAK1	chr1	65001257	65001523	65001385	65001388	40	35	73.5309	2	38	20	17	73.949425	0	20	20	18	73.06235	2	18	0.0	100.0	279.3714286	103.281194	66.24436554	77.95064157	1	266	true
JAK1	chr1	65002284	65002519	65002423	65002424	37	10	19.810833	16	21	19	5	19.195875	9	10	18	5	20.4044	7	11	0.009468857390795667	20.237024242502887	293.1	140.0931833	121.5556571	155.8777655	1	235	true
JAK1	chr1	65002566	65002742	65002637	65002661	37	23	47.87239	9	28	18	11	45.355576	4	14	18	12	52.99324	4	14	0.0	100.0	230.4347826	103.6317019	92.25685917	61.9809036	1	176	true
JAK1	chr1	65003037	65003213	65003125	65003137	37	11	21.466372	7	30	18	5	20.296295	4	14	18	6	23.773468	2	16	0.0058726265171113005	22.31167618212947	208.0909091	109.5522291	52.45621551	84.91450246	1	176	true
JAK1	chr1	65003416	65003600	65003489	65003492	38	9	18.049948	18	20	19	3	-1.0	9	10	18	5	20.350182	9	9	0.014239297548590884	18.46511434736769	195.2222222	63.03922941	81.61494961	58.14015633	1	184	true
JAK1	chr1	65026361	65026652	65026508	65026510	38	15	32.184372	16	22	2	0	-1.0	1	1	2	1	-1.0	1	1	0.00124636551529653	29.04354575656437	266.2	118.1350317	112.016878	54.27952346	1	291	true
JAK1	chr1	65027512	65027703	65027619	65027628	38	10	19.195719	17	21	1	0	-1.0	0	1	2	1	-1.0	1	1	0.011509690106189116	19.389363694183274	222.5	118.217549	42.20110583	127.1215079	1	191	true
JAK1	chr1	65027826	65027987	65027907	65027925	39	13	25.814861	17	22	1	0	-1.0	0	1	2	0	-1.0	0	2	0.0024111819728619677	26.17770012008474	261.0769231	131.2487851	135.5285002	87.58914872	1	161	true
JAK1	chr1	65041532	65041773	65041637	65041640	41	18	33.35654	14	27	0	0	-1.0	0	0	0	0	-1.0	0	0	0.0010455373333015765	29.80660455091752	272.6666667	122.1127733	73.62295749	76.11180287	1	241	true
JAK1	chr1	65060031	65060219	65060156	65060170	46	25	39.231354	6	40	7	5	49.474678	0	7	13	5	29.59991	2	11	0.0003169857804428982	34.9896021921346	175.72	29.28241793	33.63034344	35.66735202	1	188	true
JAK1	chr1	65063146	65063327	65063264	65063280	43	10	16.54275	25	18	8	1	-1.0	5	3	14	4	19.308592	6	8	0.024108977751905146	16.178212038124563	183.7	44.47983313	42.95281649	46.93683699	1	181	true
JAK1	chr1	65066709	65066847	65066791	65066800	42	10	19.546062	25	17	9	4	35.72261	4	5	21	3	-1.0	13	8	0.009553620548708433	20.198320120451996	162.8	27.76008325	60.23740071	54.56789858	1	138	true
JAK1	chr1	65066854	65067013	65066923	65066933	41	10	17.700443	24	17	9	2	-1.0	5	4	21	6	21.093998	11	10	0.017094194663421387	17.67151354736984	170.6	79.57135163	43.90406207	86.08064694	1	159	true
JAK1	chr1	65067082	65067261	65067193	65067205	41	11	19.023989	20	21	9	2	-1.0	7	2	21	7	24.410587	10	11	0.01206815304019472	19.183591910317986	214.1818182	143.9463915	93.51820435	87.73752178	1	179	true
JAK1	chr1	65067656	65067900	65067746	65067756	41	15	27.227331	15	26	9	5	43.30676	4	5	21	7	23.44732	7	14	0.001889806514352966	27.235826582872487	258.7333333	99.24102454	43.11247748	113.0959559	1	244	true
GNG5	chr1	84505617	84505764	84505702	84505703	45	11	17.543703	24	21	25	6	17.25079	11	14	20	5	17.859846	13	7	0.01710176812123735	17.669589863563722	135.5454545	28.77277754	50.40400417	53.08346772	1	147	true
GNG5	chr1	84505896	84506094	84505989	84506007	43	13	24.044973	20	23	23	7	24.242128	10	13	20	6	23.768238	10	10	0.0028143859922033472	25.506163394570834	320.5384615	213.6412941	54.23997012	220.4807393	1	198	true
GNG5	chr1	84506140	84506408	84506222	84506338	43	43	87.14239	0	43	23	23	86.079575	0	23	20	20	88.314575	0	20	0.0	100.0	312.7209302	115.2189067	89.52144827	59.68225203	1	268	true
GNG5	chr1	84506527	84506708	84506591	84506595	43	14	23.417892	9	34	23	9	27.962488	3	20	20	5	18.141607	6	14	0.0035284926990866903	24.52410776841054	230.9285714	144.7132253	112.4360869	102.9543802	1	181	true
GNG5	chr1	84506726	84506888	84506815	84506826	43	22	39.329056	8	35	23	11	36.20573	5	18	20	11	42.87089	3	17	0.0003026642451157402	35.19038880880556	193.3181818	80.09957277	90.5175236	36.0274066	1	162	true
GTPBP4	chr10	988249	988514	988324	988352	48	47	82.51704	0	48	22	22	86.45529	0	22	26	25	79.146194	0	26	0.0	100.0	303.8723404	102.4136151	56.33472548	85.96610997	1	265	true
EGR2	chr10	62814089	62814241	62814177	62814181	33	7	14.946173	20	13	15	3	-1.0	9	6	16	4	17.532892	9	7	0.03424313008247013	14.654265443624643	325.2857143	240.4140278	276.6311796	147.736735	1	152	true
EGR2	chr10	62816315	62816539	62816400	62816501	31	29	76.12304	1	30	13	12	76.31771	0	13	15	15	82.01128	0	15	0.0	100.0	296.8275862	144.1063766	77.29920755	139.2566737	1	224	true
EGR2	chr10	62816649	62816890	62816757	62816758	31	28	72.70673	1	30	13	12	76.12911	0	13	15	14	73.97294	0	15	0.0	100.0	278.3214286	137.7423934	117.8539754	59.70451934	1	241	true
EGR2	chr10	62817125	62817293	62817207	62817231	30	11	28.24798	12	18	13	4	24.426495	6	7	16	6	27.71978	6	10	0.0016449373711677601	27.838506325918388	191.0	68.10873659	36.26794227	75.64498421	1	168	true
EGR2	chr10	62818037	62818220	62818113	62818132	35	18	41.38369	13	22	16	7	34.76047	9	7	19	11	46.908512	4	15	0.0001664631472632376	37.78681898564443	181.1111111	26.3837938	23.90729645	33.42795394	1	183	true
EGR2	chr10	62818716	62818906	62818783	62818796	36	14	32.374977	15	21	16	5	26.049452	9	7	20	9	37.3854	6	14	0.001237890092508767	29.073179129377742	194.9285714	57.60937996	43.30875606	70.48704191	1	190	true
FBXW4	chr10	101693735	101693895	101693813	101693814	29	7	18.335861	10	19	7	1	-1.0	5	2	9	3	-1.0	2	7	0.014015842731446468	18.533807842673305	210.5714286	142.6707832	104.1708761	47.65650907	1	160	true
FBXW4	chr10	101694274	101694454	101694372	101694383	31	14	35.453106	11	20	8	5	51.93919	1	7	9	2	-1.0	4	5	0.0007758035091121945	31.102482603319718	187.6428571	59.74382124	75.59830948	46.69682437	1	180	true
FBXW4	chr10	101694865	101695016	101694968	101694970	30	6	15.722517	13	17	9	1	-1.0	2	7	9	2	-1.0	5	4	0.032404779948381514	14.893909233707785	204.3333333	144.063412	171.7514677	46.31090584	1	151	true
FBXW4	chr10	101695103	101695272	101695152	101695177	29	13	35.572704	7	22	9	4	36.965847	2	7	9	5	43.98048	4	5	0.0007758035091121945	31.102482603319718	192.3076923	77.01773023	25.32506613	95.63686662	1	169	true
CTSD	chr11	1763881	1764120	1763987	1764033	15	13	67.864586	0	15	5	5	80.60393	0	5	10	8	61.394917	0	10	0.0	100.0	215.8461538	51.5781707	43.84719972	32.79344838	1	239	true
SOX6	chr11	15969474	15969661	15969617	15969618	22	5	16.672329	11	11	5	1	-1.0	3	2	6	2	-1.0	3	3	0.024126434530100146	16.175068545651207	161.2	34.19356665	31.41178123	26.82349716	1	187	true
SOX6	chr11	16086365	16086556	16086467	16086468	37	12	24.313179	14	23	9	2	-1.0	3	6	7	2	-1.0	4	3	0.002763176421483308	25.585913856478456	171.4166667	80.65691464	69.17281827	69.26294869	1	191	true
SOX6	chr11	16099461	16099795	16099657	16099664	44	17	29.115587	19	25	18	6	26.154945	11	7	13	5	27.734179	4	9	0.0015495220983274887	28.09802225740766	282.4117647	79.00241992	80.71304472	59.34408638	1	334	true
SOX6	chr11	16118086	16118340	16118194	16118195	39	7	13.98188	19	20	18	3	-1.0	8	10	18	4	16.746304	8	10	0.04018252271371882	13.959628011304492	262.5714286	120.6121292	47.13405401	96.62470354	1	254	true
SOX6	chr11	16118305	16118466	16118397	16118410	39	12	22.65438	14	25	18	8	32.887337	5	13	18	4	16.141602	8	10	0.003909885784507879	24.07835929019088	214.3333333	118.5567247	125.1350785	37.76081021	1	161	true
SOX6	chr11	16120145	16120313	16120197	16120207	37	7	14.3306675	16	21	21	6	21.998919	8	13	16	1	-1.0	8	8	0.03728456173259133	14.284709575280258	181.8571429	71.24471576	72.11894936	41.87964615	1	168	true
SOX6	chr11	16125617	16126112	16125989	16126000	40	12	23.027485	18	22	20	4	15.461392	9	11	20	8	30.54358	9	11	0.0037405474338134542	24.270648336053434	360.3333333	174.3853274	160.1496223	58.85749354	1	495	true
SOX6	chr11	16126450	16126661	16126565	16126569	41	8	15.2761345	21	20	21	4	14.2158985	13	8	20	4	16.339384	8	12	0.034250362191631446	14.653348315585564	209.375	88.28515083	92.13644773	33.86844296	1	211	true
SOX6	chr11	16148572	16148730	16148637	16148657	34	18	38.39098	9	25	12	8	48.331387	2	10	15	5	23.20748	5	10	0.0003839753589796731	34.156966449098746	185.6666667	76.22567114	23.30986214	65.77156447	1	158	true
SOX6	chr11	16148852	16149053	16149008	16149014	33	7	15.122397	16	17	11	3	-1.0	6	5	15	4	18.728315	6	9	0.034179168748098634	14.662385037131092	158.1428571	44.2283038	77.78541913	56.52096113	1	201	true
SOX6	chr11	16151159	16151580	16151278	16151284	30	6	14.438639	14	16	12	6	36.096596	3	9	14	0	-1.0	8	6	0.037230995702248144	14.290953488955068	262.0	205.5869646	82.35047055	143.3122465	1	421	true
SOX6	chr11	16170140	16170310	16170222	16170225	34	13	30.801014	12	22	21	7	28.100277	6	15	12	6	38.01073	5	7	0.0013254236582295373	28.77645281710185	213.3846154	87.53526762	75.84261707	54.11691996	1	170	true
SOX6	chr11	16191493	16191720	16191639	16191655	33	6	14.869274	13	20	12	0	-1.0	7	5	18	6	27.260336	5	13	0.03553329285640711	14.493645447453112	227.3333333	48.03609754	68.0805895	73.87760148	1	227	true
